iter	Passed	Remaining
0	47	47496
1	84	42135
2	117	39122
3	147	36794
4	177	35406
5	214	35554
6	251	35729
7	288	35780
8	339	37370
9	378	37443
10	418	37614
11	458	37779
12	499	37921
13	531	37465
14	571	37515
15	612	37655
16	650	37603
17	691	37724
18	728	37624
19	764	37478
20	804	37511
21	838	37289
22	875	37179
23	917	37323
24	953	37169
25	995	37290
26	1036	37335
27	1073	37258
28	1114	37320
29	1147	37096
30	1178	36848
31	1214	36743
32	1252	36707
33	1288	36611
34	1326	36586
35	1362	36488
36	1404	36558
37	1434	36309
38	1473	36297
39	1519	36464
40	1574	36828
41	1621	36988
42	1661	36984
43	1704	37024
44	1738	36901
45	1774	36808
46	1813	36775
47	1856	36821
48	1897	36827
49	1936	36786
50	1966	36588
51	1999	36450
52	2033	36343
53	2074	36340
54	2114	36328
55	2145	36174
56	2185	36155
57	2221	36072
58	2259	36031
59	2293	35925
60	2322	35757
61	2362	35739
62	2398	35673
63	2438	35662
64	2480	35687
65	2521	35678
66	2562	35684
67	2600	35644
68	2634	35551
69	2665	35419
70	2700	35332
71	2737	35278
72	2776	35262
73	2823	35328
74	2867	35363
75	2905	35326
76	2945	35305
77	2979	35213
78	3016	35168
79	3051	35094
80	3086	35016
81	3121	34945
82	3159	34909
83	3198	34874
84	3236	34839
85	3272	34782
86	3306	34699
87	3348	34701
88	3398	34784
89	3437	34755
90	3475	34715
91	3507	34620
92	3544	34569
93	3587	34578
94	3622	34509
95	3663	34494
96	3692	34374
97	3729	34324
98	3763	34251
99	3796	34172
100	3831	34105
101	3874	34112
102	3911	34067
103	3946	33997
104	3992	34034
105	4035	34035
106	4077	34029
107	4114	33982
108	4153	33951
109	4184	33858
110	4219	33795
111	4252	33716
112	4289	33669
113	4319	33572
114	4357	33532
115	4393	33481
116	4431	33445
117	4466	33384
118	4501	33322
119	4538	33284
120	4578	33261
121	4622	33268
122	4654	33187
123	4691	33144
124	4730	33115
125	4768	33079
126	4800	33001
127	4832	32924
128	4869	32875
129	4907	32841
130	4945	32806
131	4976	32726
132	5012	32675
133	5043	32597
134	5078	32541
135	5111	32470
136	5145	32413
137	5192	32432
138	5231	32408
139	5278	32423
140	5317	32393
141	5351	32333
142	5390	32305
143	5435	32309
144	5468	32247
145	5498	32159
146	5537	32129
147	5573	32085
148	5608	32033
149	5645	31989
150	5679	31931
151	5715	31886
152	5754	31854
153	5785	31783
154	5826	31765
155	5855	31680
156	5892	31637
157	5927	31588
158	5967	31563
159	5997	31487
160	6029	31418
161	6065	31375
162	6098	31317
163	6132	31258
164	6167	31212
165	6204	31170
166	6237	31115
167	6274	31071
168	6302	30989
169	6337	30943
170	6371	30891
171	6422	30915
172	6474	30949
173	6529	30994
174	6578	31012
175	6622	31003
176	6659	30963
177	6696	30922
178	6738	30906
179	6776	30870
180	6813	30828
181	6858	30825
182	6907	30837
183	6943	30791
184	6975	30730
185	7007	30668
186	7041	30611
187	7078	30571
188	7113	30526
189	7142	30447
190	7177	30402
191	7211	30346
192	7248	30309
193	7280	30247
194	7321	30224
195	7360	30193
196	7396	30151
197	7431	30100
198	7473	30080
199	7509	30039
200	7547	30000
201	7586	29971
202	7628	29951
203	7678	29959
204	7719	29937
205	7770	29951
206	7811	29926
207	7853	29904
208	7899	29897
209	7935	29852
210	7972	29813
211	8011	29777
212	8048	29739
213	8086	29700
214	8122	29656
215	8158	29612
216	8189	29549
217	8229	29519
218	8265	29477
219	8299	29424
220	8338	29391
221	8380	29371
222	8412	29310
223	8450	29273
224	8490	29246
225	8527	29204
226	8567	29173
227	8599	29118
228	8634	29069
229	8669	29022
230	8706	28985
