iter	Passed	Remaining
0	193	193103
1	219	109565
2	242	80673
3	265	66029
4	290	57775
5	320	53032
6	346	49183
7	371	46024
8	403	44440
9	436	43180
10	464	41773
11	496	40907
12	531	40383
13	563	39696
14	601	39510
15	639	39312
16	674	39014
17	711	38826
18	741	38294
19	783	38400
20	820	38238
21	857	38120
22	894	37977
23	931	37896
24	970	37839
25	1006	37694
26	1043	37608
27	1074	37295
28	1108	37101
29	1145	37024
30	1184	37031
31	1217	36838
32	1254	36765
33	1289	36625
34	1334	36786
35	1372	36762
36	1406	36612
37	1436	36360
38	1474	36325
39	1512	36299
40	1553	36333
41	1595	36394
42	1635	36405
43	1665	36182
44	1697	36016
45	1735	35988
46	1769	35883
47	1804	35794
48	1837	35665
49	1867	35475
50	1900	35361
51	1930	35200
52	1962	35066
53	1998	35008
54	2026	34812
55	2055	34651
56	2085	34497
57	2113	34332
58	2151	34317
59	2183	34200
60	2219	34163
61	2256	34137
62	2295	34147
63	2330	34080
64	2365	34023
65	2400	33965
66	2448	34102
67	2486	34078
68	2529	34136
69	2573	34196
70	2611	34171
71	2650	34158
72	2689	34155
73	2735	34234
74	2778	34265
75	2825	34354
76	2870	34409
77	2908	34385
78	2948	34378
79	2980	34270
80	3019	34254
81	3060	34257
82	3097	34223
83	3126	34098
84	3157	33991
85	3186	33864
86	3218	33776
87	3258	33771
88	3303	33812
89	3339	33762
90	3373	33693
91	3404	33605
92	3434	33495
93	3473	33483
94	3509	33434
95	3538	33320
96	3574	33276
97	3604	33177
98	3639	33127
99	3674	33073
100	3707	33001
101	3738	32915
102	3776	32885
103	3807	32800
104	3838	32721
105	3874	32680
106	3909	32625
107	3938	32526
108	3969	32451
109	4007	32425
110	4048	32425
111	4081	32362
112	4119	32336
113	4153	32277
114	4185	32209
115	4217	32137
116	4258	32135
117	4289	32058
118	4322	32001
119	4354	31936
120	4395	31928
121	4430	31883
122	4467	31853
123	4505	31827
124	4551	31862
125	4595	31876
126	4636	31873
127	4669	31813
128	4705	31770
129	4740	31727
130	4780	31712
131	4815	31667
132	4866	31722
133	4907	31716
134	4944	31678
135	4987	31685
136	5020	31622
137	5060	31607
138	5098	31579
139	5132	31531
140	5170	31502
141	5205	31454
142	5245	31435
143	5288	31437
144	5334	31454
145	5370	31415
146	5414	31416
147	5448	31364
148	5490	31359
149	5528	31330
150	5568	31310
151	5610	31300
152	5652	31291
153	5692	31270
154	5735	31267
155	5775	31246
156	5814	31221
157	5848	31165
158	5899	31202
159	5938	31178
160	5992	31226
161	6031	31202
162	6082	31231
163	6121	31203
164	6160	31175
165	6193	31117
166	6232	31089
167	6272	31064
168	6307	31016
169	6343	30971
170	6378	30920
171	6410	30861
172	6445	30813
173	6484	30784
174	6521	30742
175	6559	30710
176	6594	30663
177	6630	30621
178	6665	30573
179	6708	30560
180	6752	30554
181	6789	30514
182	6825	30470
183	6861	30428
184	6897	30385
185	6931	30336
186	6972	30312
187	7010	30280
188	7048	30243
189	7086	30209
190	7125	30182
191	7159	30128
192	7199	30105
193	7247	30109
194	7288	30089
195	7326	30052
196	7360	30003
197	7394	29950
198	7428	29899
199	7467	29869
200	7503	29826
201	7540	29788
202	7583	29775
203	7621	29739
204	7660	29709
205	7701	29683
206	7745	29672
207	7781	29628
208	7817	29586
209	7857	29558
210	7891	29508
211	7926	29463
212	7963	29424
213	7993	29357
214	8021	29289
215	8051	29222
216	8081	29159
217	8113	29105
218	8149	29063
219	8182	29010
220	8214	28953
221	8248	28908
222	8283	28863
223	8313	28801
224	8343	28738
225	8376	28689
226	8414	28654
227	8445	28595
228	8480	28551
229	8513	28502
230	8553	28474
231	8583	28414
232	8615	28360
233	8649	28314
234	8688	28285
235	8726	28249
236	8756	28191
237	8796	28163
238	8839	28144
239	8872	28096
240	8903	28039
241	8935	27988
242	8970	27945
243	9001	27888
244	9038	27852
245	9069	27797
246	9104	27754
247	9137	27706
248	9169	27657
249	9201	27605
250	9230	27543
251	9262	27494
252	9294	27442
253	9326	27391
254	9359	27345
255	9391	27294
256	9423	27244
257	9451	27182
258	9490	27151
259	9521	27100
260	9551	27043
261	9585	27000
262	9615	26944
263	9644	26887
264	9673	26831
265	9705	26782
266	9738	26735
267	9768	26681
268	9797	26625
269	9832	26584
270	9860	26524
271	9892	26478
272	9924	26428
273	9957	26384
274	9986	26328
275	10016	26275
276	10044	26216
277	10078	26174
278	10116	26143
279	10149	26097
280	10183	26057
281	10212	26002
282	10240	25944
283	10269	25890
284	10308	25861
285	10338	25809
286	10375	25776
287	10410	25738
288	10443	25693
289	10473	25642
290	10502	25588
291	10533	25539
292	10566	25497
293	10599	25454
294	10631	25406
295	10658	25350
296	10695	25317
297	10727	25270
298	10759	25224
299	10792	25182
300	10827	25145
301	10858	25095
302	10892	25057
303	10922	25006
304	10961	24976
305	10986	24917
306	11020	24875
307	11049	24824
308	11081	24780
309	11116	24742
310	11147	24696
311	11181	24655
312	11211	24608
313	11240	24557
314	11267	24502
315	11300	24459
316	11330	24411
317	11363	24370
318	11392	24321
319	11422	24271
320	11457	24236
321	11491	24197
322	11519	24144
323	11571	24142
324	11613	24121
325	11653	24092
326	11692	24063
327	11726	24024
328	11767	24000
329	11803	23964
330	11847	23944
331	11889	23922
332	11925	23887
333	11969	23867
334	12013	23848
335	12050	23813
336	12084	23774
337	12124	23746
338	12157	23704
339	12196	23676
340	12232	23639
341	12269	23606
342	12306	23572
343	12351	23554
344	12388	23520
345	12422	23481
346	12453	23435
347	12481	23384
348	12513	23342
349	12550	23307
350	12580	23261
351	12611	23216
352	12643	23174
353	12679	23138
354	12711	23095
355	12748	23061
356	12781	23020
357	12811	22974
358	12841	22928
359	12879	22897
360	12914	22860
361	12942	22809
362	12973	22766
363	13010	22732
364	13043	22691
365	13079	22657
366	13122	22633
367	13157	22596
368	13191	22557
369	13220	22509
370	13249	22464
371	13276	22412
372	13301	22360
373	13333	22316
374	13370	22283
375	13399	22236
376	13430	22193
377	13463	22154
378	13493	22108
379	13524	22066
380	13556	22025
381	13596	21996
382	13625	21950
383	13664	21919
384	13694	21875
385	13725	21832
386	13755	21788
387	13789	21750
388	13820	21707
389	13858	21676
390	13891	21637
391	13927	21601
392	13963	21567
393	13998	21529
394	14038	21501
395	14075	21468
396	14110	21432
397	14144	21394
398	14185	21366
399	14221	21332
400	14259	21300
401	14293	21262
402	14325	21221
403	14360	21185
404	14405	21163
405	14437	21122
406	14471	21084
407	14510	21055
408	14552	21028
409	14590	20995
410	14629	20965
411	14672	20940
412	14709	20906
413	14744	20870
414	14777	20830
415	14821	20807
416	14860	20776
417	14902	20749
418	14936	20712
419	14972	20676
420	15004	20636
421	15039	20599
422	15073	20560
423	15110	20527
424	15142	20486
425	15174	20445
426	15207	20407
427	15244	20373
428	15278	20335
429	15315	20301
430	15351	20266
431	15384	20227
432	15418	20190
433	15453	20153
434	15491	20120
435	15535	20096
