iter	Passed	Remaining
0	131	131815
1	267	133660
2	391	130026
3	516	128636
4	653	130032
5	789	130771
6	904	128333
7	1051	130424
8	1166	128427
9	1290	127713
10	1420	127751
11	1545	127265
12	1661	126137
13	1784	125713
14	1911	125530
15	2035	125159
16	2157	124748
17	2294	125178
18	2417	124820
19	2534	124190
20	2654	123767
21	2778	123523
22	2900	123220
23	3020	122828
24	3146	122732
25	3275	122703
26	3402	122618
27	3522	122280
28	3651	122272
29	3771	121954
30	3893	121705
31	4007	121216
32	4127	120941
33	4266	121228
34	4385	120928
35	4501	120547
36	4628	120458
37	4742	120071
38	4871	120040
39	5009	120239
40	5129	119979
41	5257	119930
42	5374	119622
43	5498	119457
44	5619	119268
45	5745	119153
46	5863	118886
47	6003	119069
48	6139	119158
49	6255	118851
50	6372	118576
51	6515	118774
52	6646	118764
53	6763	118481
54	6879	118196
55	7015	118253
56	7152	118332
57	7290	118414
58	7409	118175
59	7536	118064
60	7658	117898
61	7786	117803
62	7920	117802
63	8049	117724
64	8175	117604
65	8309	117597
66	8435	117467
67	8557	117282
68	8677	117087
69	8804	116973
70	8923	116759
71	9037	116483
72	9156	116281
73	9286	116204
74	9415	116127
75	9533	115904
76	9660	115801
77	9786	115684
78	9906	115488
79	10019	115223
80	10139	115043
81	10263	114901
82	10384	114734
83	10494	114438
84	10610	114214
85	10734	114080
86	10862	113997
87	10990	113902
88	11110	113723
89	11227	113527
90	11360	113477
91	11477	113274
92	11589	113031
93	11711	112881
94	11832	112716
95	11951	112542
96	12066	112326
97	12185	112160
98	12315	112087
99	12433	111905
100	12548	111694
101	12670	111548
102	12794	111425
103	12918	111297
104	13045	111195
105	13167	111051
106	13291	110931
107	13403	110699
108	13525	110564
109	13639	110353
110	13756	110172
111	13885	110095
112	14014	110007
113	14124	109773
114	14247	109641
115	14370	109511
116	14502	109451
117	14621	109286
118	14749	109197
119	14866	109019
120	14993	108919
121	15123	108841
122	15255	108770
123	15376	108628
124	15485	108398
125	15607	108259
126	15721	108071
127	15850	107984
128	15964	107789
129	16079	107612
130	16204	107490
131	16327	107365
132	16449	107232
133	16561	107031
134	16651	106693
135	16767	106522
136	16891	106406
137	17012	106266
138	17124	106070
139	17236	105881
140	17353	105722
141	17472	105574
142	17589	105412
143	17706	105253
144	17829	105131
145	17937	104922
146	18063	104815
147	18190	104715
148	18302	104532
149	18426	104415
150	18547	104285
151	18659	104098
152	18788	104013
