iter	Passed	Remaining
0	49	49503
1	97	48886
2	143	47643
3	174	43512
4	224	44752
5	270	44852
6	319	45380
7	369	45802
8	416	45829
9	459	45453
10	511	45968
11	556	45813
12	613	46551
13	662	46633
14	709	46560
15	765	47085
16	814	47096
17	861	47001
18	915	47293
19	967	47411
20	1014	47304
21	1060	47155
22	1113	47309
23	1161	47242
24	1207	47111
25	1254	47011
26	1314	47386
27	1364	47373
28	1414	47354
29	1469	47522
30	1517	47427
31	1564	47312
32	1610	47198
33	1658	47114
34	1698	46817
35	1741	46642
36	1786	46498
37	1834	46444
38	1882	46395
39	1930	46342
40	1976	46237
41	2023	46150
42	2075	46199
43	2116	45977
44	2150	45632
45	2200	45627
46	2243	45491
47	2294	45501
48	2338	45393
49	2389	45405
50	2435	45319
51	2479	45210
52	2536	45315
53	2578	45179
54	2620	45031
55	2673	45063
56	2720	45001
57	2761	44847
58	2812	44857
59	2862	44851
60	2905	44722
61	2954	44697
62	2996	44560
63	3041	44478
64	3087	44409
65	3131	44316
66	3178	44264
67	3220	44139
68	3259	43979
69	3306	43933
70	3357	43931
71	3405	43897
72	3457	43904
73	3506	43872
74	3553	43825
75	3598	43746
76	3644	43683
77	3686	43573
78	3735	43553
79	3774	43401
80	3820	43346
81	3868	43312
82	3914	43251
83	3956	43149
84	3997	43029
85	4043	42974
86	4086	42881
87	4131	42822
88	4175	42742
89	4221	42682
90	4270	42656
91	4316	42605
92	4368	42606
93	4415	42556
94	4461	42502
95	4509	42461
96	4557	42427
97	4600	42343
98	4645	42280
99	4687	42187
100	4734	42138
101	4779	42078
102	4821	41993
103	4869	41954
104	4917	41918
105	4964	41869
106	5011	41821
107	5054	41742
108	5104	41727
109	5144	41626
110	5193	41597
111	5235	41508
112	5283	41471
113	5331	41434
114	5378	41392
115	5433	41408
116	5481	41366
117	5527	41312
118	5573	41265
119	5621	41221
120	5668	41176
121	5717	41147
122	5765	41106
123	5810	41047
124	5857	41005
125	5907	40977
126	5954	40929
127	5993	40829
128	6036	40757
129	6082	40706
130	6131	40671
131	6176	40617
132	6217	40530
133	6253	40412
134	6300	40372
135	6351	40347
136	6401	40323
137	6449	40283
138	6496	40238
139	6541	40185
140	6588	40137
141	6636	40101
142	6683	40054
143	6725	39978
144	6767	39902
145	6812	39851
146	6860	39809
147	6903	39739
148	6948	39685
149	6993	39628
150	7038	39575
151	7084	39524
152	7121	39422
153	7166	39368
154	7212	39320
155	7258	39268
156	7300	39199
157	7350	39171
158	7398	39133
159	7446	39096
160	7492	39045
161	7537	38991
162	7583	38940
163	7627	38881
164	7665	38794
165	7714	38759
166	7755	38683
167	7794	38600
168	7843	38567
169	7883	38490
170	7932	38458
171	7977	38404
172	8015	38314
173	8059	38257
174	8100	38190
175	8146	38138
176	8193	38098
177	8238	38045
178	8284	37998
179	8331	37953
180	8381	37924
181	8420	37847
182	8456	37752
183	8501	37700
184	8547	37654
185	8588	37586
186	8628	37514
187	8674	37466
188	8718	37412
189	8764	37366
190	8812	37324
191	8859	37283
192	8903	37228
193	8948	37177
194	8989	37109
195	9028	37036
196	9073	36984
197	9115	36922
198	9161	36876
199	9206	36826
200	9252	36780
201	9298	36735
202	9345	36692
203	9387	36630
204	9427	36558
205	9472	36511
206	9525	36489
207	9568	36434
208	9612	36378
209	9659	36336
210	9704	36289
211	9749	36237
212	9798	36202
213	9845	36161
214	9887	36102
215	9932	36051
216	9974	35990
217	10017	35935
218	10062	35883
219	10108	35840
220	10157	35803
221	10202	35755
222	10255	35732
223	10303	35694
224	10354	35665
225	10400	35620
226	10447	35576
227	10494	35533
228	10545	35505
229	10591	35456
230	10651	35458
231	10706	35443
232	10762	35428
233	10803	35364
234	10856	35341
235	10915	35336
236	10963	35296
237	11021	35286
238	11081	35283
239	11111	35185
240	11148	35112
241	11204	35096
242	11263	35089
243	11313	35051
244	11358	35003
245	11409	34972
246	11466	34956
247	11521	34936
248	11567	34887
249	11623	34871
250	11681	34857
251	11726	34806
252	11776	34772
253	11842	34782
254	11908	34792
255	11972	34794
256	12025	34766
257	12077	34733
258	12142	34739
259	12200	34725
260	12263	34721
261	12331	34736
262	12398	34745
263	12460	34738
264	12522	34732
265	12572	34692
266	12622	34653
267	12679	34630
268	12731	34598
269	12780	34555
270	12837	34532
271	12888	34494
272	12936	34450
273	12991	34422
274	13031	34356
275	13087	34330
276	13145	34311
277	13196	34272
278	13250	34241
279	13287	34167
280	13351	34163
281	13410	34143
282	13455	34091
283	13511	34063
284	13564	34031
285	13597	33945
286	13647	33904
287	13690	33846
288	13747	33821
289	13782	33742
290	13842	33727
291	13894	33690
292	13949	33658
293	13984	33581
294	14033	33538
295	14081	33490
296	14123	33431
297	14178	33401
298	14238	33381
299	14298	33362
300	14359	33345
301	14399	33280
302	14448	33235
303	14499	33195
304	14560	33179
305	14609	33134
306	14660	33092
307	14712	33056
308	14745	32974
309	14799	32940
310	14855	32910
311	14914	32887
312	14955	32824
313	14996	32763
314	15051	32731
315	15114	32715
316	15156	32654
317	15195	32589
318	15254	32565
319	15294	32501
320	15348	32465
321	15407	32440
322	15451	32386
323	15501	32343
324	15558	32313
325	15588	32228
326	15642	32194
327	15685	32136
328	15743	32108
329	15785	32050
330	15832	31999
331	15887	31965
332	15944	31936
333	15985	31875
334	16023	31807
335	16073	31765
336	16128	31731
337	16183	31697
338	16239	31664
339	16305	31652
340	16367	31630
341	16418	31588
342	16459	31527
343	16499	31464
344	16555	31431
345	16602	31382
346	16647	31327
347	16686	31262
348	16743	31231
349	16796	31193
350	16846	31148
351	16881	31077
352	16938	31045
353	16968	30965
354	17018	30920
355	17075	30888
356	17117	30831
357	17156	30766
358	17215	30737
359	17256	30678
360	17307	30635
361	17369	30612
362	17427	30582
363	17470	30524
364	17525	30489
365	17566	30428
366	17619	30390
367	17657	30324
368	17703	30273
369	17761	30243
370	17822	30217
371	17857	30147
372	17906	30100
373	17965	30069
374	17995	29992
375	18037	29933
376	18088	29891
377	18142	29853
378	18197	29817
379	18261	29794
380	18318	29762
381	18367	29714
382	18398	29639
383	18456	29606
384	18511	29569
385	18552	29511
386	18599	29461
387	18651	29418
388	18688	29354
389	18738	29308
390	18795	29275
391	18844	29228
392	18884	29167
393	18942	29134
394	18983	29075
395	19031	29028
396	19080	28980
397	19137	28946
398	19187	28900
399	19247	28871
400	19299	28828
401	19350	28784
402	19411	28755
403	19452	28696
404	19494	28640
405	19546	28597
406	19577	28524
407	19646	28507
408	19705	28473
409	19761	28437
410	19821	28405
411	19882	28375
412	19935	28334
413	19991	28296
414	20036	28244
415	20086	28199
416	20137	28154
417	20173	28087
418	20225	28044
419	20275	27998
420	20326	27954
421	20382	27917
422	20422	27857
423	20473	27813
424	20530	27777
425	20574	27722
426	20618	27668
427	20672	27627
428	20726	27587
429	20789	27558
430	20848	27523
431	20880	27454
432	20944	27425
433	21002	27390
434	21054	27347
435	21108	27305
436	21148	27246
437	21191	27190
438	21252	27158
439	21310	27122
440	21361	27077
441	21413	27032
442	21463	26987
443	21506	26931
444	21547	26873
445	21603	26835
446	21645	26777
447	21682	26715
448	21729	26666
449	21782	26623
450	21831	26575
451	21875	26522
452	21918	26466
453	21978	26431
454	22028	26385
455	22087	26350
456	22145	26312
457	22197	26269
458	22255	26231
459	22317	26199
460	22359	26142
461	22390	26074
462	22444	26031
463	22500	25991
464	22542	25935
465	22578	25873
466	22624	25821
467	22681	25783
468	22740	25746
469	22809	25720
470	22862	25678
471	22919	25638
